id_receta,nombre_receta,ingrediente,ingrediente_original,ingrediente_homologado,cantidad,unidad,cadena,producto_profeco,precio_kg_litro_mxn,unidad_precio,costo_ingrediente_mxn,tipo_conversion,ingredientes_requeridos,precio_total_receta_mxn,ingredientes_con_precio
13444,Boterkoek --- Dutch Butter Cake,vanilla sugar,1 (2   teaspoon) package   vanilla sugar,sugar,4.1667,gramos,Chedraui,Azúcar,28.2,kg,0.12,densidad_aproximada,4,78.21,4
13444,Boterkoek --- Dutch Butter Cake,butter,1   cup    butter (room temperature),butter,227.0,gramos,Soriana,Mantequilla,288.8,kg,65.56,densidad_aproximada,4,82.19,4
13444,Boterkoek --- Dutch Butter Cake,flour,2   cups    flour,flour,240.0,gramos,Soriana,Harina de Trigo,19.8,kg,4.75,densidad_aproximada,4,82.19,4
13444,Boterkoek --- Dutch Butter Cake,icing sugar,2   cups    icing sugar,sugar,400.0,gramos,Soriana,Azúcar,29.4,kg,11.76,densidad_aproximada,4,82.19,4
13444,Boterkoek --- Dutch Butter Cake,vanilla sugar,1 (2   teaspoon) package   vanilla sugar,sugar,4.1667,gramos,Soriana,Azúcar,29.4,kg,0.12,densidad_aproximada,4,82.19,4
13444,Boterkoek --- Dutch Butter Cake,butter,1   cup    butter (room temperature),butter,227.0,gramos,Walmart,Mantequilla,288.9,kg,65.58,densidad_aproximada,4,80.89,4
13444,Boterkoek --- Dutch Butter Cake,flour,2   cups    flour,flour,240.0,gramos,Walmart,Harina de Trigo,18.5,kg,4.44,densidad_aproximada,4,80.89,4
13444,Boterkoek --- Dutch Butter Cake,icing sugar,2   cups    icing sugar,sugar,400.0,gramos,Walmart,Azúcar,26.9,kg,10.76,densidad_aproximada,4,80.89,4
13444,Boterkoek --- Dutch Butter Cake,vanilla sugar,1 (2   teaspoon) package   vanilla sugar,sugar,4.1667,gramos,Walmart,Azúcar,26.9,kg,0.11,densidad_aproximada,4,80.89,4
13790,Quick Bowl-O-Noodles,chicken - flavored ramen noodles,1 (3   ounce) package   chicken-flavored ramen noodles,chicken,85.0486,gramos,Chedraui,Carne Pollo,94.0,kg,7.99,directa,6,18.87,6
13790,Quick Bowl-O-Noodles,chopped onion,1/4  cup   chopped onion,onion,40.0,gramos,Chedraui,Cebolla,27.5,kg,1.1,densidad_aproximada,6,18.87,6
13790,Quick Bowl-O-Noodles,frozen peas carrot,1/4  cup    frozen peas and carrot,carrot,32.0,gramos,Chedraui,Zanahoria,15.8,kg,0.51,densidad_aproximada,6,18.87,6
13790,Quick Bowl-O-Noodles,garlic clove,1/2      garlic clove,garlic,1.5,gramos,Chedraui,Ajo,411.1,kg,0.62,peso_por_diente_aproximado,6,18.87,6
13790,Quick Bowl-O-Noodles,raw bacon,"2   slices   raw bacon, coarsely chopped",bacon,16.0,gramos,Chedraui,Tocino Ahumado,364.7,kg,5.84,peso_por_rebanada_aproximado,6,18.87,6
13790,Quick Bowl-O-Noodles,water,1   cup    water,water,0.2366,litros,Chedraui,Agua Sin Gas,11.89,litro,2.81,volumen,6,18.87,6
13790,Quick Bowl-O-Noodles,chicken - flavored ramen noodles,1 (3   ounce) package   chicken-flavored ramen noodles,chicken,85.0486,gramos,Soriana,Carne Pollo,86.3,kg,7.34,directa,6,19.63,6
13790,Quick Bowl-O-Noodles,chopped onion,1/4  cup   chopped onion,onion,40.0,gramos,Soriana,Cebolla,24.2,kg,0.97,densidad_aproximada,6,19.63,6
13790,Quick Bowl-O-Noodles,frozen peas carrot,1/4  cup    frozen peas and carrot,carrot,32.0,gramos,Soriana,Zanahoria,16.5,kg,0.53,densidad_aproximada,6,19.63,6
13790,Quick Bowl-O-Noodles,garlic clove,1/2      garlic clove,garlic,1.5,gramos,Soriana,Ajo,469.2,kg,0.7,peso_por_diente_aproximado,6,19.63,6
13790,Quick Bowl-O-Noodles,raw bacon,"2   slices   raw bacon, coarsely chopped",bacon,16.0,gramos,Soriana,Tocino Ahumado,451.0,kg,7.22,peso_por_rebanada_aproximado,6,19.63,6
13790,Quick Bowl-O-Noodles,water,1   cup    water,water,0.2366,litros,Soriana,Agua Sin Gas,12.11,litro,2.87,volumen,6,19.63,6
13790,Quick Bowl-O-Noodles,chicken - flavored ramen noodles,1 (3   ounce) package   chicken-flavored ramen noodles,chicken,85.0486,gramos,Walmart,Carne Pollo,104.0,kg,8.85,directa,6,22.01,6
